Anomaly Score,Ground Truth,Decision
1905.5565,0,1
1906.3779,0,1
1904.7635,0,1
1903.1556,0,1
1899.4017,0,1
1885.7422,0,1
1876.2098,0,1
1871.7317,0,1
1869.4271,0,1
1873.3616,0,1
1878.4235,0,1
1879.459,0,1
1879.5746,0,1
1877.7777,0,1
1868.5742,0,1
1867.5641,0,1
1870.9863,0,1
1880.524,0,1
1886.0647,0,1
1891.0621,0,1
1893.5824,0,1
1895.8441,0,1
1894.4133,0,1
1895.0038,0,1
1890.1904,0,1
1885.0793,0,1
1882.207,0,1
1878.291,0,1
1883.4781,0,1
1884.9374,0,1
1891.608,0,1
1888.2916,0,1
1895.5286,0,1
1889.7086,0,1
1893.8304,0,1
1877.9238,0,1
1869.9055,0,1
1859.5533,0,1
1855.7188,0,1
1852.4863,0,1
1860.2477,0,1
1866.3938,0,1
1861.182,0,1
1856.4071,0,1
1858.5547,0,1
1867.2825,0,1
1870.7225,0,1
1876.998,0,1
1881.1708,0,1
1881.1975,0,1
1878.0684,0,1
1879.8041,0,1
1872.9205,0,1
1876.3925,0,1
1871.9512,0,1
1867.5657,0,1
1865.5004,0,1
1876.0101,0,1
1868.3871,0,1
1870.0922,0,1
1873.3734,0,1
1871.5309,0,1
1868.4006,0,1
1872.8676,0,1
1870.82,0,1
1869.2963,0,1
1872.9307,0,1
1870.3508,0,1
1871.2229,0,1
1871.0446,0,1
1866.7258,0,1
1862.5863,0,1
1861.6664,0,1
1854.2725,0,1
1851.0365,0,1
1850.4305,0,1
1851.6434,0,1
1845.4391,0,1
1838.6698,0,1
1837.0524,0,1
1842.9877,0,1
1840.0605,0,1
1845.5322,0,1
1857.6825,0,1
1869.911,0,1
1868.3066,0,1
1869.0293,0,1
1871.1473,0,1
1876.497,0,1
1866.999,0,1
1867.3492,0,1
1871.3973,0,1
1870.1145,0,1
1869.9795,0,1
1874.5497,0,1
1874.9368,0,1
1873.7314,0,1
1874.6246,0,1
1872.7051,0,1
1878.4404,0,1
1886.543,0,1
1890.7793,0,1
1897.4725,0,1
1898.4794,0,1
1895.2523,0,1
1895.149,0,1
1893.598,0,1
1891.3334,0,1
1898.8578,0,1
1907.0648,0,1
1885.2588,0,1
1884.0979,0,1
1892.0319,0,1
1891.834,0,1
1889.6366,0,1
1909.4424,0,1
1911.6903,0,1
1907.6741,0,1
1902.0016,0,1
1901.1168,0,1
1898.582,0,1
1899.1191,0,1
1897.2328,0,1
1891.6279,0,1
1886.8,0,1
1886.7196,0,1
1881.4286,0,1
1878.1234,0,1
1883.6989,0,1
1881.3368,0,1
1881.9877,0,1
1884.7194,0,1
1887.7379,0,1
1884.143,0,1
1887.4271,0,1
1886.8342,0,1
1890.1881,0,1
